"","country","t.n","t.m.age","t.women","inc.att","inc.fol","inc.mat","inc.dev","inc.awa","inc.dis","i.n","i.m.age","i.women"
"1","AUS",120,"22.62 (6.92)","0.79; 0.19; 0.02",0.72,0.98,0.99,1,0.45,0.97,36,"21.83 (21.83)","0.83; 0.17; 0"
"2","BRA",179,"27.87 (9.71)","0.59; 0.4; 0.01",0.8,0.99,0.95,0.93,0.6,0.97,65,"26.89 (26.89)","0.52; 0.46; 0.02"
"3","CHE",106,"21.07 (2.6)","0.95; 0.05; 0",0.92,1,0.96,1,0.39,1,37,"20.57 (20.57)","0.95; 0.05; 0"
"4","COL",136,"28.19 (10.84)","0.64; 0.35; 0.01",0.79,0.99,0.94,0.88,0.65,0.94,57,"29.3 (29.3)","0.65; 0.35; 0"
"5","DEU",619,"26.58 (5.57)","0.76; 0.24; 0",0.94,1,0.99,0.99,0.39,0.99,216,"27.28 (27.28)","0.71; 0.29; 0"
"6","ESP",110,"27.45 (12.46)","0.82; 0.17; 0.01",0.85,1,1,0.95,0.42,1,35,"26.06 (26.06)","0.74; 0.26; 0"
"7","FRA",245,"37.64 (15.44)","0.78; 0.2; 0.02",0.83,0.99,0.95,0.95,0.59,0.95,95,"39.23 (39.23)","0.79; 0.2; 0.01"
"8","GBR",105,"33.23 (12.74)","0.69; 0.3; 0.01",0.84,0.99,0.98,0.95,0.59,1,43,"36.3 (36.3)","0.72; 0.28; 0"
"9","HUN",256,"21.79 (4.76)","0.84; 0.15; 0",0.96,1,0.96,1,0.56,0.92,125,"21.99 (21.99)","0.82; 0.18; 0"
"10","IND",110,"20.56 (2.92)","0.25; 0.75; 0.01",0.57,0.98,0.99,0.78,0.8,0.92,38,"20.21 (20.21)","0.29; 0.71; 0"
"11","ISR",107,"24.64 (7.94)","0.86; 0.14; 0",0.87,1,0.98,1,0.44,0.97,42,"23.76 (23.76)","0.88; 0.12; 0"
"12","ITA",34,"37.09 (17.97)","0.35; 0.65; 0",0.76,1,1,0.91,0.59,0.85,13,"37.62 (37.62)","0.31; 0.69; 0"
"13","JPN",213,"46.53 (10.1)","0.18; 0.8; 0.02",0.88,1,0.96,0.95,0.75,0.99,131,"45.53 (45.53)","0.18; 0.8; 0.02"
"14","KEN",106,"23.75 (5.23)","0.84; 0.14; 0.02",0.84,0.99,0.96,1,0.63,0.97,50,"23.3 (23.3)","0.9; 0.1; 0"
"15","NGA",113,"23.57 (4.06)","0.81; 0.19; 0",0.6,0.96,0.95,1,0.53,0.9,29,"22.86 (22.86)","0.83; 0.17; 0"
"16","NOR",119,"25.45 (7.16)","0.61; 0.36; 0.03",0.88,1,0.98,0.97,0.49,0.99,46,"25.74 (25.74)","0.61; 0.35; 0.04"
"17","POL",271,"25.4 (9.07)","0.83; 0.15; 0.02",0.89,0.99,0.97,0.94,0.41,0.97,81,"25.14 (25.14)","0.89; 0.11; 0"
"18","TUR",306,"25.51 (10.21)","0.76; 0.24; 0.01",0.82,0.99,0.96,0.97,0.58,0.98,134,"25.01 (25.01)","0.77; 0.22; 0.01"
"19","USA",623,"20.32 (3.75)","0.7; 0.28; 0.01",0.72,0.99,0.98,0.99,0.57,0.99,231,"20.32 (20.32)","0.75; 0.24; 0"
